model_label,grouping_basis,output_branch,count,hardware_label,precision_label,quantization_label,max_new_tokens,avg_end_to_end_latency_sec,std_end_to_end_latency_sec,p50_end_to_end_latency_sec,p95_end_to_end_latency_sec,avg_generate_only_latency_sec,std_generate_only_latency_sec,p50_generate_only_latency_sec,p95_generate_only_latency_sec,avg_generated_tokens,peak_gpu_memory_allocated_gb,peak_gpu_memory_reserved_gb
qwen2.5vl-3b-VR-en,predicted_output,safe,74,NVIDIA RTX A6000,auto,none,128,1.6286755455531985,0.40290026675087925,1.5056122115347534,2.392386790900491,0.869382282788236,0.021897697158312496,0.8674540794454515,0.8795748867327347,4.0,7.531766414642334,7.876953125
qwen2.5vl-3b-VR-en,predicted_output,hazard,126,NVIDIA RTX A6000,auto,none,128,3.362003908130444,0.5679679850089648,3.3060463776346296,4.411491411970928,2.50038201139412,0.2533136474360003,2.473453274462372,2.9827988425968215,42.72222222222222,7.531766414642334,7.876953125
Qwen2.5-VL-7B-VR-en,predicted_output,safe,67,NVIDIA RTX A6000,auto,none,128,1.6344429421231652,0.11962691514564851,1.60428166994825,1.8382180917542428,1.3607154572591074,0.02138085641920438,1.3594344439916313,1.3664964948780836,4.0,16.04801034927368,16.546875
Qwen2.5-VL-7B-VR-en,predicted_output,hazard,133,NVIDIA RTX A6000,auto,none,128,2.646446359471621,0.2288946235173927,2.606017337180674,3.091853634966537,2.355868982595805,0.17040038948577046,2.3366692950949073,2.6567527222912757,41.556390977443606,16.04801034927368,16.546875
