dataset,model,n,bertscore_precision,bertscore_recall,bertscore_f1,lave_hazard,lave_guide,lave_format,lave_overall,failed_lave_parse_count
our_test_non_safe,WAD alter-only,254,0.8507114317942792,0.8471238653021534,0.8488793225269619,3.6181102362204722,3.0196850393700787,5.862204724409449,3.688976377952756,0.0
our_test_non_safe,WAD full-JSON,254,0.8528888643257261,0.8484750385359516,0.8505860351202056,4.043307086614173,2.7716535433070866,6.019685039370079,4.019685039370079,0.0
wad_test,WAD alter-only,1007,0.9032451458341907,0.9011946827794731,0.9020744878225317,4.5183714001986095,4.639523336643496,7.894736842105263,5.516385302879841,0.0
wad_test,WAD full-JSON,1007,0.8998488072960711,0.9000205616610053,0.8997515457152373,5.28798411122145,5.4846077457795435,8.04865938430983,6.147964250248262,0.0
